Complaint ID,Dataset ID,Case type,Actual/Expected category,GenAI category,Python category,GenAI dept,Python dept,GenAI urgency,Python urgency,GenAI escalation,Python escalation,Policy reference,Match/Mismatch,Verification status,Explanation of disagreement
CMP-00001,DS-0001,policy_exception,Cancellation,not run (no provider credit),Cancellation,not run (no provider credit),Billing,not run (no provider credit),medium,not run (no provider credit),true,CAN-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-193, escalation rules ESC-POL-01."
CMP-00002,DS-0002,emotional,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),medium,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-001.
CMP-00003,DS-0003,unsupported_refund,Refund,not run (no provider credit),Refund,not run (no provider credit),Returns,not run (no provider credit),medium,not run (no provider credit),false,REF-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-122.
CMP-00004,DS-0004,safety,Safety,not run (no provider credit),Safety,not run (no provider credit),Safety,not run (no provider credit),critical,not run (no provider credit),true,SAF-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-021, escalation rules ESC-SAF-02."
CMP-00005,DS-0005,simple,Billing,not run (no provider credit),Billing,not run (no provider credit),Billing,not run (no provider credit),low,not run (no provider credit),false,BIL-POL-02,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-137.
CMP-00006,DS-0006,simple,Account,not run (no provider credit),Account,not run (no provider credit),Account Security,not run (no provider credit),medium,not run (no provider credit),false,SEC-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-017.
CMP-00007,DS-0007,low_priority,Technical Support,not run (no provider credit),Technical Support,not run (no provider credit),Technical Support,not run (no provider credit),low,not run (no provider credit),false,TEC-SOP-02,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-020.
CMP-00008,DS-0008,high_priority,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),high,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-002.
CMP-00009,DS-0009,incomplete,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),medium,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-001.
CMP-00010,DS-0010,simple,Product Defect,not run (no provider credit),Product Defect,not run (no provider credit),Warranty,not run (no provider credit),high,not run (no provider credit),false,WAR-POL-03,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-006.
CMP-00011,DS-0011,high_value,Refund,not run (no provider credit),Refund,not run (no provider credit),Returns,not run (no provider credit),high,not run (no provider credit),true,REF-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-005, escalation rules ESC-HIGH-VALUE."
