id,title,description,product_or_service,order_reference,customer_type,channel,previous_complaint_reference,requested_resolution,customer_ref,expected_category,expected_subcategory,expected_department,expected_urgency,expected_priority,expected_escalation,expected_escalation_level,expected_policy,expected_policy_section,case_type,secondary_categories,tags,notes
DS-0001,Hardship cancellation request,"Hi there, I cannot cancel outside the cooling off window, but please make an exception because I lost my job. I have been a customer for about 3 years. Looking forward to your reply.",NimbusCare+ Protection Plan,NC-389544,standard,email,,Cancel and return the fee.,SIM-CUST-0378,Cancellation,Cancellation Blocked,Billing,medium,P2,true,supervisor_review,CAN-POL-01,2,policy_exception,,policy_exception|cancellation|cust:standard|esc:ESC-POL-01,Exception request on a blocked cancellation: supervisor review; CAN-POL-01 still applies.
DS-0002,Still no parcel!!!,"Honestly, what is going on at NimbusCarta? My AuraBuds Pro is 20 days late and your tracking page is a joke. Order NC-772887. Never shopping here if this continues.",AuraBuds Pro,NC-772887,standard,web,,Just deliver it.,SIM-CUST-0233,Delivery,Delayed Delivery,Logistics,medium,P2,false,no_escalation,DEL-POL-04,5.2,emotional,,emotional|delivery|cust:standard,"Angry tone does not change the rule result: a delay is Delivery / Delayed Delivery, medium."
DS-0003,Want my money back,"I want a refund for the PulseWatch S plus PKR 5,000 for the stress this caused me. It was delivered to my home in Lahore. Thank you for your help.",PulseWatch S,NC-449662,standard,portal,,Full refund and compensation.,SIM-CUST-0382,Refund,Refund Delay,Returns,medium,P2,false,no_escalation,REF-POL-01,4.1,unsupported_refund,,unsupported_refund|refund|cust:standard,Refund request without an eligible defect: RR-122 general refund rule; policy does not allow the extra compensation.
DS-0004,Electric shock from device,I got a shock from the metal edge of my NovaCharge 65W while it was charging. Thanks.,NovaCharge 65W,NC-375156,standard,portal,,Please tell me what to do.,SIM-CUST-0159,Safety,Injury Risk,Safety,critical,P0,true,critical_management,SAF-POL-01,1.4,safety,,safety|cust:standard|esc:ESC-SAF-02,"Shock / injured / burn map to Safety / Injury Risk (RR-021), critical and escalated."
DS-0005,Invoice problem,My company needs a corrected invoice for NC-910774. The tax line is wrong.,NovaCharge 65W,NC-910774,standard,messaging,,Please send a corrected invoice.,SIM-CUST-0127,Billing,Incorrect Charge,Billing,low,P3,false,no_escalation,BIL-POL-02,4,simple,,simple|billing|cust:standard,Invoice / tax / GST are filler rules for Billing / Incorrect Charge under GEN-POL-01.
DS-0006,Locked out of my account,"Hi team, I am locked out of my NimbusCarta account after three wrong password attempts and the unlock email never comes. I paid PKR 2,999 by debit card. Kind regards, Hina",NimbusCarta customer account,NC-517326,standard,web,,Help me get back in.,SIM-CUST-0076,Account,Account Locked,Account Security,medium,P2,false,no_escalation,SEC-POL-01,2.2,simple,,simple|account|cust:standard,"Locked out / cannot login map to Account / Account Locked (RR-017, SEC-POL-01 2.2); identity check first."
DS-0007,Terrible pairing!!,I am beyond frustrated. Your LumenLamp will not do bluetooth with my old car stereo. Useless! Sort it out immediately.,LumenLamp,NC-261610,enterprise,web,,Tell me how to do it.,SIM-CUST-0271,Technical Support,Device Pairing,Technical Support,low,P2,false,no_escalation,TEC-SOP-02,4.0,low_priority,,low_priority|technical_support|cust:enterprise,"Angry but minor: pairing is Technical Support / Device Pairing, low, P3."
DS-0008,Package never delivered,Our office order NC-903834 of 10 CartDock Mini units was never delivered. We need them for staff onboarding on 01/07/2026. Please advise.,CartDock Mini,NC-903834,standard,chat,,Send replacements immediately.,SIM-CUST-0296,Delivery,Lost Shipment,Logistics,high,P1,false,no_escalation,DEL-POL-04,6.1,high_priority,,high_priority|delivery|cust:standard,"Lost shipment is high urgency, P1 (RR-002)."
DS-0009,Where is it,"Hi there, My order has still not arrived and it has been ages. Thank you for your help.",AuraBuds Pro,,standard,chat,,Update me.,SIM-CUST-0463,Delivery,Delayed Delivery,Logistics,medium,P2,false,no_escalation,DEL-POL-04,5.2,incomplete,,incomplete|delivery|cust:standard|missing_order,Delay without an order number: Delivery / Delayed Delivery with missing order_number.
DS-0010,Broken on arrival,"Dear NimbusCarta support, The AuraBuds Pro casing is cracked right out of the box. Order NC-186165, delivered 16/05/2026. Looking forward to your reply.",AuraBuds Pro,NC-186165,standard,portal,,Replace it or tell me what my options are.,SIM-CUST-0068,Product Defect,Damaged Product,Warranty,high,P1,false,no_escalation,WAR-POL-03,2.2,simple,,simple|product_defect|cust:standard,"Damaged / broken / cracked map to Product Defect / Damaged Product (RR-006, high, WAR-POL-03 2.2)."
