rule_code,category_code,subcategory_code,keywords,department_code,supporting_department_codes,urgency,priority,policy_code,policy_section,escalation_required,escalation_level,required_actions,prohibited_actions,follow_up_required,refund_eligible,replacement_eligible,compensation_permitted,notes
RR-001,DELIVERY,DELAY,delayed|late|not arrived|running late,LOG,,medium,P2,DEL-POL-04,5.2,false,no_escalation,Verify shipment status in carrier tracking|Confirm expected delivery date,Promise a delivery time that is not in tracking|Offer an automatic shipping credit,true,false,false,false,Delay past the delivery window; compensation is not automatic.
RR-002,DELIVERY,LOST,lost package|never delivered|lost parcel|lost shipment,LOG,,high,P1,DEL-POL-04,6.1,false,no_escalation,Open carrier investigation|Offer replacement or refund per policy after the investigation,Guarantee next-day delivery,true,true,true,false,Lost shipment; replacement or refund after carrier investigation.
RR-003,BILLING,DUP,charged twice|duplicate|double charged|double billed,BIL,,high,P1,BIL-POL-02,3.1,false,no_escalation,Verify duplicate transaction against the gateway report|Reverse the confirmed duplicate capture,Refund unrelated charges,true,true,false,false,Duplicate capture of the same order.
RR-004,BILLING,WRONG,overcharged|wrong amount|incorrect charge|charged more than,BIL,,medium,P2,BIL-POL-02,3.4,false,no_escalation,Compare invoice to catalogue price on the order date|Correct the charge to the catalogue price,"Issue goodwill credit above the PKR 2,000 policy cap",true,,,false,Charge differs from the catalogue price.
RR-005,REFUND,DELAYREF,refund delay|waiting for refund|refund delayed|refund taking too long,RET,,medium,P2,REF-POL-01,4.1,false,no_escalation,Check refund batch status|Confirm the 7-10 business day timeline from approval,Promise instant cash refund,true,,,false,Approved or pending refund not yet paid.
RR-006,DEFECT,DAMAGED,damaged|broken|cracked|shattered,WAR,,high,P1,WAR-POL-03,2.2,false,no_escalation,Request unboxing photos|Open replacement if eligible,Approve refund before inspection,true,,true,false,Product itself damaged on arrival; photo evidence required.
RR-007,DEFECT,DOA,will not turn on|dead on arrival|won't turn on|does not turn on,WAR,TEC,high,P1,WAR-POL-03,2.1,false,no_escalation,Verify purchase window of 7 days and proof of purchase|Arrange DOA replacement,Extend warranty unofficially,true,false,true,false,Dead on arrival within 7 days of delivery.
RR-008,SAFETY,OVERHEAT,overheat|burning smell|sparks|sparking|smoke|smoking,SAF,,critical,P0,SAF-POL-01,1.1,true,critical_management,Instruct customer to unplug device|Escalate to Safety,Tell customer to keep using the device,true,,true,false,Overheating / smoke / sparks are critical regardless of tone.
RR-009,PRIVACY,LEAK,privacy|data leak|personal data|privacy breach|data breach,CMP,,high,P1,PRI-POL-01,2.4,true,compliance_review,Preserve logs|Escalate to Compliance,Publicly confirm personal data contents,true,false,false,false,Personal-data exposure is a compliance incident.
RR-010,ACCOUNT,HACK,hacked|unauthorized|unauthorised|account takeover|stolen account,SEC,,high,P1,SEC-POL-01,3.0,true,specialist_team,Force password reset|Review session history,Share OTP over chat,true,false,false,false,Account takeover; specialist team.
RR-011,TECH,APP,app crash|error code|checkout|app freezes|app keeps closing,TEC,,medium,P2,TEC-SOP-02,1.3,false,no_escalation,Capture error code|Retry on latest app version,Promise a custom app build,true,false,false,false,App or checkout failure.
RR-012,WARRANTY,DENIED,warranty denied|out of warranty|warranty rejected|warranty expired|warranty claim,WAR,,medium,P2,WAR-POL-03,5.0,false,no_escalation,Check warranty window and serial|Offer a paid repair quote if the warranty has expired,Override expired warranty,true,false,false,false,Warranty claim refused or expired.
RR-013,STAFF,RUDE,rude|unprofessional|disrespectful|impolite,REL,,medium,P2,REL-SOP-01,2.0,false,no_escalation,Apologize|Coach named agent if identified,Terminate staff without investigation,true,false,false,false,Staff behaviour needs investigation before any disciplinary claim.
RR-014,CANCEL,HARD,cannot cancel|cancel subscription|cancellation refused|unable to cancel,BIL,,medium,P2,CAN-POL-01,1.2,false,no_escalation,Confirm cooling-off window,Cancel fulfilled digital content outside policy,true,,false,false,Subscription cancellation blocked.
RR-015,SERVICE,WAIT,no response|on hold|ignored|no reply,REL,,low,P3,SLA-POL-01,2.1,false,no_escalation,Acknowledge delay|Provide realistic next update,Offer cash compensation automatically,true,false,false,false,Waiting for support is low risk on its own.
RR-016,DELIVERY,WRONGITEM,wrong item|incorrect product|wrong product,LOG,,high,P1,DEL-POL-04,7.0,false,no_escalation,Arrange reverse pickup|Ship correct SKU,Let customer keep both items as default,true,false,true,false,Wrong SKU delivered.
RR-017,ACCOUNT,LOCK,locked out|cannot login|account locked|cannot log in|can't log in,SEC,,medium,P2,SEC-POL-01,2.2,false,no_escalation,Verify identity|Unlock if owner confirmed,Unlock without verification,true,false,false,false,Lockout; identity verification before unlock.
RR-018,REFUND,PARTIAL,partial refund|restocking|restocking fee,RET,,low,P3,REF-POL-01,5.3,false,no_escalation,Explain restocking conditions|Waive the fee only for defective or wrong items,Waive restocking without eligibility,true,false,false,false,Restocking deduction dispute.
RR-019,BILLING,RENEW,auto renewed|subscription renewal|automatic renewal|renewed without,BIL,,medium,P2,BIL-POL-02,6.0,false,no_escalation,Confirm renewal notice window,Refund all historical renewals,true,,,false,NimbusCare+ auto-renewal dispute.
RR-020,TECH,PAIR,bluetooth|pairing|wifi setup|not pairing,TEC,,low,P3,TEC-SOP-02,4.0,false,no_escalation,Walk through pairing SOP,Send a free replacement before troubleshooting,true,false,false,false,Pairing problems are troubleshot before any replacement.
RR-021,SAFETY,INJURY,injured|shock|burn|electric shock|electrocuted,SAF,CMP,critical,P0,SAF-POL-01,1.4,true,critical_management,Collect incident facts|Escalate to Safety,Admit legal liability,true,,true,false,Injury or shock; incident record and critical escalation.
RR-022,PRIVACY,LEAK,cnic|passport|otp shared|national id,CMP,,high,P0,PRI-POL-01,2.1,true,compliance_review,Start privacy incident record,Pay compensation automatically,true,false,false,false,Identity documents or OTP exposed: P0 privacy incident.
RR-121,DEFECT,DAMAGED,scratch|scuff|cosmetic|packaging|box damaged|dent in the box,WAR,,low,P3,WAR-POL-03,2.2,false,no_escalation,Request photos of the damage|Confirm the product itself works,Offer compensation for cosmetic packaging damage,true,false,false,false,Cosmetic or packaging damage where the product works.
RR-122,REFUND,DELAYREF,refund|money back|reimburse|refund request,RET,,medium,P2,REF-POL-01,4.1,false,no_escalation,Verify order and refund eligibility,Approve refund before verification|Promise instant cash refund,true,,,false,Generic refund request; eligibility decided under REF-POL-01.
RR-123,SERVICE,WAIT,still not resolved|third time|no one has fixed|complained before,REL,,high,P1,CMP-POL-01,1,true,supervisor_review,Review previous complaint history|Assign a named owner,Close without contacting the customer,true,false,false,false,Repeat unresolved complaint; supervisor review.
RR-124,DELIVERY,DELAY,tracking not updated|tracking not moving|no tracking update|courier|eta,LOG,,medium,P2,DEL-POL-04,4,false,no_escalation,Read the latest carrier scan before replying|Chase the courier for a scan update,Quote a delivery date that is not in tracking,true,false,false,false,Tracking stale but parcel not yet lost.
RR-125,DELIVERY,DELAY,not dispatched|awaiting dispatch|dispatch|still processing,LOG,,medium,P2,DEL-POL-04,5.2,false,no_escalation,Check warehouse dispatch status|Give the dispatch date from the warehouse system,Promise same-day dispatch,true,false,false,false,Order not yet dispatched.
RR-126,DELIVERY,DELAY,delivery attempted|failed delivery attempt|out for delivery|missed delivery,LOG,,medium,P2,DEL-POL-04,5.3,false,no_escalation,Confirm attempt history with the courier|Rebook delivery or hub collection within 5 days,Charge a redelivery fee,true,false,false,false,Failed attempt; parcel held at hub for 5 days.
RR-127,DELIVERY,DELAY,wrong address|address not found|could not find my address|address problem,LOG,,medium,P2,DEL-POL-04,5.1,false,no_escalation,Verify the delivery address with the customer|Update address before the second attempt,Change the address without verifying the account holder,true,false,false,false,Address problems; customer contacted twice before return to warehouse.
RR-128,DELIVERY,DELAY,express delivery|next-day delivery|next day delivery|scheduled delivery,LOG,BIL,medium,P2,DEL-POL-04,5.2,false,no_escalation,Check whether the express service level was met|Refer express-fee reversal to Billing if NimbusCarta missed it,Guarantee a new express date not in tracking,true,,false,false,Paid express or scheduled slot missed.
RR-129,DELIVERY,LOST,marked as delivered|shows as delivered|delivered but not received|shows delivered,LOG,,high,P1,DEL-POL-04,6.2,false,no_escalation,Request a signed non-receipt declaration|Open carrier investigation,Refund before the carrier investigation closes,true,true,true,false,Tracking says delivered but customer has nothing.
RR-130,DELIVERY,LOST,tracking stopped|stuck in transit|missing parcel|missing package|no scan,LOG,,high,P1,DEL-POL-04,6.1,false,no_escalation,Check last carrier scan age against the 7-day lost definition|Open carrier investigation if no scan for 7 days,Guarantee next-day delivery,true,true,true,false,Parcel with no scans; may meet the lost definition.
RR-131,DELIVERY,LOST,parcel opened|tampered|empty box|stolen parcel,LOG,CMP,high,P1,DEL-POL-04,6.2,false,no_escalation,Request photos of the parcel and seal|Open carrier investigation for tampering,Accuse the customer of fraud,true,true,true,false,Tampered or empty parcel.
RR-132,DELIVERY,WRONGITEM,wrong colour|wrong color|wrong size|wrong model|wrong variant,LOG,,medium,P2,DEL-POL-04,7.0,false,no_escalation,Arrange reverse pickup within 3 business days|Ship the ordered variant after pickup scan,Let customer keep both items as default,true,false,true,false,Right product but wrong variant.
RR-133,DELIVERY,WRONGITEM,missing item|item missing|missing accessory|missing cable|incomplete order,LOG,,high,P1,DEL-POL-04,7.0,false,no_escalation,Check warehouse pick record and parcel weight|Ship the missing item once verified,Send a full new order before verification,true,false,true,false,Order arrived incomplete.
RR-134,BILLING,DUP,pending authorisation|pending authorization|authorisation hold|authorization hold|pending charge,BIL,,medium,P2,BIL-POL-02,2,false,no_escalation,Explain that pending authorisations drop off in 3-5 business days|Check whether both amounts were captured,Reverse a pending hold that was never captured,true,false,,false,Pending hold that looks like a duplicate (FAQ-BIL-01).
RR-135,BILLING,DUP,chargeback|card dispute|disputed transaction|dispute with my bank,BIL,CMP,high,P1,BIL-POL-02,3.2,false,no_escalation,Record the chargeback reference|Flag the case to Compliance,Issue a refund while the chargeback is open,true,false,,false,Card dispute or chargeback; Compliance is informed.
RR-136,BILLING,DUP,charged three times|multiple charges|charged multiple times|debited twice,BIL,,high,P1,BIL-POL-02,3.1,false,no_escalation,Match every capture against the gateway report|Reverse each confirmed extra capture,Refund unrelated charges,true,true,,false,More than one capture for one order.
RR-137,BILLING,WRONG,invoice|gst|vat|tax|incorrect invoice,BIL,,low,P3,BIL-POL-02,4,false,no_escalation,Check the invoice against the order|Issue a corrected invoice within 30 days of purchase,Change the price while correcting the invoice,true,false,,false,Invoice or tax line problem; no money lost.
RR-138,BILLING,WRONG,coupon|promo code|voucher not applied|discount not applied|discount code,BIL,,medium,P2,BIL-POL-02,3.4,false,no_escalation,Check the promotion terms and order date|Correct the charge if the promotion was valid,"Issue goodwill credit above the PKR 2,000 policy cap",true,,,false,Promotion not applied.
RR-139,BILLING,WRONG,price match|price drop|price protection,BIL,,low,P3,BIL-POL-02,3.4,false,no_escalation,Explain that prices are charged as on the order date,Refund a later price drop as a policy right,true,false,,false,Price dropped after purchase.
RR-140,BILLING,WRONG,delivery fee|delivery charges|shipping fee charged|cod fee,BIL,LOG,medium,P2,BIL-POL-02,3.4,false,no_escalation,Check the delivery fee shown at checkout|Correct a delivery fee that was charged in error,Waive delivery fees on future orders,true,,,false,Delivery fee dispute.
RR-141,BILLING,MISSREF,refund missing|refund not received|refund not credited|no refund received,BIL,RET,medium,P2,REF-POL-01,4.1,false,no_escalation,Locate the refund transaction and share its reference|Confirm it went to the original payment method,Issue a second refund before tracing the first,true,true,,false,Refund approved but money not received.
RR-142,BILLING,MISSREF,refund to wrong card|refunded to the wrong account|refund went to my old card|old card,BIL,RET,medium,P2,REF-POL-01,4.1,false,no_escalation,Check which card or account the refund was sent to|Ask the bank to trace an expired-card refund,Send the refund to a different account without verification,true,true,,false,Refund sent to an old or wrong card.
RR-143,BILLING,MISSREF,refund marked processed|processed refund|refund reference|refund shows processed,BIL,RET,medium,P2,REF-POL-01,4.1,false,no_escalation,Share the refund reference and processing date|Allow the 7-10 business day bank window before tracing,Promise instant cash refund,true,true,,false,Refund shows processed but has not arrived.
RR-144,BILLING,RENEW,renewal reminder|no reminder|reminder email|without any reminder,BIL,,medium,P2,BIL-POL-02,6.0,false,no_escalation,Check whether the 7-day renewal reminder was sent|Reverse the latest renewal if no reminder was sent,Refund all historical renewals,true,true,,false,Renewal without the 7-day reminder.
RR-145,BILLING,RENEW,free trial|trial ended|trial converted|after the trial,BIL,,medium,P2,BIL-POL-02,6.0,false,no_escalation,Check the trial end date and reminder|Explain the renewal terms shown at sign-up,Refund all historical renewals,true,,,false,Trial converted to a paid plan.
RR-146,BILLING,RENEW,plan upgrade|upgraded without|plan downgrade|plan price increase,BIL,,medium,P2,BIL-POL-02,6.0,false,no_escalation,Check the plan change history|Reverse a plan change the customer did not request,Refund all historical renewals,true,,,false,Unrequested plan change.
RR-147,REFUND,DELAYREF,return pickup|pickup not collected|reverse pickup|return not collected,RET,LOG,medium,P2,REF-POL-01,3,false,no_escalation,Rebook the return pickup with Logistics|Explain that the refund is approved after the return is inspected,Approve refund before verification,true,,,false,Refund blocked because the return was not collected.
RR-148,REFUND,DELAYREF,return rejected|return refused|failed inspection|return declined,RET,,medium,P2,REF-POL-01,2,false,no_escalation,Share the inspection result and photos|Explain the 14-day unused-return eligibility,Approve refund before verification,true,false,,false,Return refused after inspection.
RR-149,REFUND,DELAYREF,card reversal|reversal pending|wallet|bank transfer refund,RET,,medium,P2,REF-POL-01,4.1,false,no_escalation,Check the reversal status with the payment provider|Share the reversal reference,Promise instant cash refund,true,,,false,Card or wallet reversal pending.
RR-150,REFUND,DELAYREF,change of mind|changed my mind|no longer need|do not want it anymore,RET,,low,P3,REF-POL-01,2,false,no_escalation,Check the 14-day unused return window|Offer the standard return process if eligible,Approve a change-of-mind refund after 14 days|Refund a used item as change of mind,true,,,false,Change-of-mind return; eligible only within 14 days and unused.
RR-151,REFUND,PARTIAL,shipping fee not refunded|delivery fee deducted|shipping not refunded,RET,,low,P3,REF-POL-01,5.1,false,no_escalation,Check whether the item was defective wrong or lost|Refund the shipping fee only in those cases,Refund shipping fees on change-of-mind returns,true,,,false,Original shipping fee deduction.
RR-152,REFUND,PARTIAL,refunded less|less than i paid|deduction from my refund|short refund,RET,,low,P3,REF-POL-01,5.3,false,no_escalation,Itemise the refund and deductions|Correct any deduction not allowed by policy,Waive restocking without eligibility,true,,,false,Refund smaller than expected.
RR-153,DEFECT,DAMAGED,stopped working|not charging|no sound|faulty|keeps restarting,WAR,,medium,P2,WAR-POL-03,3,false,no_escalation,Collect serial number invoice and fault description|Book a service-centre assessment within 5 business days,Promise a replacement before assessment,true,,,false,"Fault after normal use, within warranty."
RR-154,DEFECT,DAMAGED,dead pixel|screen flicker|hinge|charging port|camera|battery drain,WAR,,medium,P2,WAR-POL-03,3,false,no_escalation,Collect serial number and photos or video of the fault|Book a service-centre assessment,Promise a replacement before assessment,true,,,false,"Component defect (display, hinge, port, camera, battery)."
RR-155,DEFECT,DAMAGED,arrived damaged|damaged in transit|transit damage|damaged during delivery,WAR,LOG,high,P1,WAR-POL-03,2.2,false,no_escalation,Request unboxing photos of product and outer packaging|Report the transit damage to Logistics,Approve refund before inspection,true,,true,false,Damaged in transit; Logistics supports.
RR-156,DEFECT,DOA,no power|not powering up|will not power on|won't power on,WAR,,high,P1,WAR-POL-03,2.1,false,no_escalation,Verify purchase window of 7 days and proof of purchase|Confirm the charger and socket were tested,Extend warranty unofficially,true,,true,false,New unit shows no power.
RR-157,DEFECT,DOA,doa|not working out of the box|faulty out of the box|never worked,WAR,TEC,high,P1,WAR-POL-03,2.1,false,no_escalation,Verify purchase window of 7 days|Arrange DOA replacement,Extend warranty unofficially,true,,true,false,Faulty from first use.
RR-158,SAFETY,OVERHEAT,battery swell|swollen battery|bulging battery|battery bulging|battery swelling,SAF,,critical,P0,SAF-POL-01,1.2,true,critical_management,Instruct customer to stop charging and unplug device|Arrange safe collection without postal shipping,Ask the customer to post the battery,true,,true,false,Swollen battery is an overheating hazard.
RR-159,SAFETY,OVERHEAT,caught fire|catch fire|melted|melting|scorched|flames,SAF,CMP,critical,P0,SAF-POL-01,1.1,true,critical_management,Instruct customer to unplug device|Escalate to Safety,Tell customer to keep using the device,true,,true,false,Fire or melting.
RR-160,SAFETY,INJURY,choking|choking hazard|child safety|swallowed,SAF,CMP,critical,P0,SAF-POL-01,1.3,true,critical_management,Collect incident facts|Escalate to Safety the same day,Admit legal liability,true,,,false,Child safety or choking hazard.
RR-161,SAFETY,OVERHEAT,too hot to touch|very hot|extremely hot|gets hot,SAF,,critical,P0,SAF-POL-01,1.1,true,critical_management,Instruct customer to unplug device|Escalate to Safety,Tell customer to keep using the device,true,,true,false,Excessive heat reported.
RR-162,SAFETY,OVERHEAT,electrical fault|short circuit|loud pop|exploded,SAF,,critical,P0,SAF-POL-01,1.1,true,critical_management,Instruct customer to unplug device|Escalate to Safety,Tell customer to keep using the device,true,,true,false,Electrical fault or explosion.
RR-163,SAFETY,INJURY,sharp edge|bleeding|cut my|cut her|cut his,SAF,,critical,P0,SAF-POL-01,1.4,true,critical_management,Collect incident facts|Escalate to Safety,Admit legal liability,true,,true,false,Physical injury from the product.
RR-164,SAFETY,INJURY,hearing damage|skin rash|rash|allergic reaction|skin irritation,SAF,,critical,P0,SAF-POL-01,1.4,true,critical_management,Collect incident facts|Advise the customer to stop using the product|Escalate to Safety,Admit legal liability,true,,,false,Health reaction to wearables or earbuds.
RR-165,PRIVACY,LEAK,sent to the wrong person|sent to someone else|someone else's details|another customer's details|wrong recipient,CMP,,high,P1,PRI-POL-01,2.4,true,compliance_review,Preserve logs|Ask the wrong recipient to delete the message|Escalate to Compliance,Publicly confirm personal data contents,true,false,false,false,Customer data sent to the wrong recipient.
RR-166,PRIVACY,LEAK,marketing emails|unsubscribe|sold my data|shared with third parties|spam messages,CMP,,medium,P2,PRV-POL-02,1,false,no_escalation,Stop the marketing contact|Confirm how the contact data was obtained,Deny that data is processed without checking,true,false,false,false,Unwanted marketing or data use; not an exposure.
RR-167,PRIVACY,LEAK,delete my data|data deletion|access my data|copy of my data,CMP,,medium,P2,PRI-POL-01,3,false,no_escalation,Log the data-rights request|Answer within 30 days,Delete order records needed for warranty without telling the customer,true,false,false,false,Data access or deletion request.
RR-168,PRIVACY,LEAK,public link|visible to anyone|anyone can see|exposed online,CMP,,high,P1,PRI-POL-01,2.4,true,compliance_review,Take the link offline|Preserve logs|Escalate to Compliance,Publicly confirm personal data contents,true,false,false,false,Data publicly reachable.
RR-169,ACCOUNT,HACK,unknown device|unrecognised login|unrecognized login|suspicious login|new device login,SEC,,high,P1,SEC-POL-01,3.0,true,specialist_team,Sign out all sessions|Review session history,Share OTP over chat,true,false,false,false,Login the customer does not recognise.
RR-170,ACCOUNT,HACK,phishing|scam call|fake call|fake sms|pretending to be nimbuscarta,SEC,,high,P1,SEC-POL-01,4,true,specialist_team,Report the phishing message for takedown|Force password reset if credentials were entered,Ask the customer for their password or OTP,true,false,false,false,Phishing impersonating NimbusCarta.
RR-171,ACCOUNT,HACK,orders i never placed|order i did not place|fraudulent order|placed without my permission,SEC,BIL,high,P1,SEC-POL-01,3.0,true,specialist_team,Cancel undelivered orders placed by the attacker|Force password reset,Ship pending orders before verification,true,,false,false,Orders placed by someone else.
RR-172,ACCOUNT,HACK,password was changed|email was changed|changed my password|changed my email,SEC,,high,P1,SEC-POL-01,3.0,true,specialist_team,Restore the owner's email after identity verification|Sign out all sessions,Share OTP over chat,true,false,false,false,Credentials changed by someone else.
RR-173,ACCOUNT,LOCK,verification code|otp not received|code never arrives|code not received,SEC,,medium,P2,SEC-POL-01,2.2,false,no_escalation,Verify identity with two of email phone and last order|Update the phone number after verification,Read out an OTP to the customer,true,false,false,false,Cannot receive verification codes.
